-1;20;-1;-1;-1;-1;-1;29;-1;-1;-1;29;37;-1;-1;-1;-1;-1
20;-1;25;-1;-1;-1;-1;28;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;25;-1;25;-1;-1;-1;30;-1;-1;-1;-1;54;-1;-1;-1;-1;-1
-1;-1;25;-1;39;32;42;-1;23;33;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;39;-1;12;26;-1;-1;19;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;32;12;-1;17;-1;-1;35;30;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;42;26;17;-1;-1;-1;-1;38;-1;-1;-1;-1;-1;-1;-1
39;28;30;-1;-1;-1;-1;-1;-1;-1;-1;25;22;-1;-1;-1;-1;-1
-1;-1;-1;23;-1;-1;-1;-1;-1;26;-1;-1;34;34;-1;43;-1;-1
-1;-1;-1;33;19;35;-1;-1;26;-1;24;-1;-1;30;19;-1;-1;-1
-1;-1;-1;-1;-1;30;38;-1;-1;24;-1;-1;-1;-1;26;-1;-1;36
29;39;-1;-1;-1;-1;-1;25;-1;-1;-1;-1;27;-1;-1;43;-1;-1
37;-1;54;-1;-1;-1;-1;22;34;-1;-1;27;-1;24;-1;19;-1;-1
-1;-1;-1;56;-1;-1;-1;-1;34;30;-1;-1;24;-1;20;19;17;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;19;26;-1;-1;20;-1;-1;18;21
-1;-1;-1;-1;-1;-1;-1;-1;43;-1;-1;43;19;19;-1;-1;26;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;17;18;26;-1;15
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36;-1;-1;-1;21;-1;15;-1
